criterion,region,year,variable,reference_data,unit,level_of_concern,lower,upper
nearterm_ccus,World,2030,Carbon Capture,,Mt CO2/yr,strong,0.0,457.89
nearterm_solar,World,2025,Capacity|Electricity|Solar,,GW,medium,2083.0,3152.0
nearterm_solar,World,2025,Capacity|Electricity|Solar,,GW,strong,1609.2,3895.6
nearterm_solar,China+ (R10),2025,Capacity|Electricity|Solar,,GW,medium,518.1,2671.7
nearterm_solar,Europe (R10),2025,Capacity|Electricity|Solar,,GW,medium,194.2,764.7
nearterm_solar,India+ (R10),2025,Capacity|Electricity|Solar,,GW,medium,56.2,256.4
nearterm_solar,World,2030,Capacity|Electricity|Solar,,GW,medium,4350.2,8163.7
nearterm_solar,World,2030,Capacity|Electricity|Solar,,GW,strong,2683.2,10896.0
nearterm_solar,China+ (R10),2030,Capacity|Electricity|Solar,,GW,medium,936.1,7874.1
nearterm_solar,Europe (R10),2030,Capacity|Electricity|Solar,,GW,medium,280.6,1839.9
nearterm_solar,India+ (R10),2030,Capacity|Electricity|Solar,,GW,medium,104.4,855.6
nearterm_wind_onshore,World,2025,Capacity|Electricity|Wind|Onshore,,GW,medium,1138.0,1570.0
nearterm_wind_onshore,World,2025,Capacity|Electricity|Wind|Onshore,,GW,strong,945.0,1862.0
nearterm_wind_onshore,Europe (R10),2025,Capacity|Electricity|Wind|Onshore,,GW,medium,154.0,505.0
nearterm_wind_onshore,China+ (R10),2025,Capacity|Electricity|Wind|Onshore,,GW,medium,268.0,1101.0
nearterm_wind_onshore,India+ (R10),2025,Capacity|Electricity|Wind|Onshore,,GW,medium,28.0,91.0
nearterm_wind_onshore,World,2030,Capacity|Electricity|Wind|Onshore,,GW,medium,1719.0,2853.0
nearterm_wind_onshore,World,2030,Capacity|Electricity|Wind|Onshore,,GW,strong,1220.0,3655.0
nearterm_wind_onshore,Europe (R10),2030,Capacity|Electricity|Wind|Onshore,,GW,medium,191.0,969.0
nearterm_wind_onshore,China+ (R10),2030,Capacity|Electricity|Wind|Onshore,,GW,medium,349.0,2117.0
nearterm_wind_onshore,India+ (R10),2030,Capacity|Electricity|Wind|Onshore,,GW,medium,33.0,154.0
longterm_cropland_yield,World,2100,Yield|Cropland|Cereals,,t DM/ha/yr,strong,,15.3
longterm_nuclear,World,2040,Capacity|Electricity|Nuclear,,GW,medium,,694.0
longterm_nuclear,World,2050,Capacity|Electricity|Nuclear,,GW,medium,,950.0
longterm_ccus,World,2035,Carbon Capture,,Mt CO2/yr,medium,,1300.0
longterm_ccus,World,2040,Carbon Capture,,Mt CO2/yr,medium,,4300.0
longterm_daccs,World,2050,Carbon Capture|Geological Storage|Direct Air Capture,,Gt CO2/yr,medium,,4.89
sustainable_deforestation,World,2030,Forest Area Change|Deforestation,,million ha/yr,medium,,0.0
sustainable_primary_deforestation,World,2030,Forest Area Change|Deforestation|Primary,,million ha/yr,medium,,0.0
sustainable_biodiversity_intactness,World,2030,"Terrestrial Biodiversity|BII, Terrestrial Biodiversity|Biodiversity Intactness Index",,%/yr,medium,,0.0
sustainable_bioenergy,World,"2025, 2030, 2035, 2040, 2045, 2050",Primary Energy|Biomass,,EJ/yr,strong,,100.0
sustainable_hydropower,World,2050,Capacity|Electricity|Hydro,,GW,strong,,1500.0
